2015-12-07 23:04:06.719 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414820
2015-12-07 23:04:06.724 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414821
2015-12-07 23:04:07.070 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414821
2015-12-07 23:04:07.070 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414819
2015-12-07 23:04:07.539 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414819
2015-12-07 23:04:07.540 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external race data for event: 46269
2015-12-07 23:04:07.540 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external race data for event: 46275
2015-12-07 23:04:07.883 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external race data for event: 46275
2015-12-07 23:04:07.884 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external race data for event: 46277
2015-12-07 23:04:08.261 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414892
2015-12-07 23:04:09.179 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414892
2015-12-07 23:04:09.180 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414896
2015-12-07 23:04:09.589 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414896
2015-12-07 23:04:09.590 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414898
2015-12-07 23:04:09.941 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414898
2015-12-07 23:04:09.942 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414897
2015-12-07 23:04:10.406 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414897
2015-12-07 23:04:10.407 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414900
2015-12-07 23:04:10.817 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414900
2015-12-07 23:04:10.818 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414899
2015-12-07 23:04:11.226 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414899
2015-12-07 23:04:11.226 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414895
2015-12-07 23:04:11.638 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414895
2015-12-07 23:04:11.639 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414894
2015-12-07 23:04:12.046 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414894
2015-12-07 23:04:12.047 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414893
2015-12-07 23:04:12.457 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414893
2015-12-07 23:04:12.458 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414901
2015-12-07 23:04:12.869 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414901
2015-12-07 23:04:12.870 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external race data for event: 46277
2015-12-07 23:04:12.871 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external race data for event: 46278
2015-12-07 23:04:13.272 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external race data for event: 46278
2015-12-07 23:04:13.273 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external race data for event: 46299
2015-12-07 23:04:13.726 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415097
2015-12-07 23:04:14.525 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415097
2015-12-07 23:04:14.527 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415098
2015-12-07 23:04:14.915 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415098
2015-12-07 23:04:14.916 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415099
2015-12-07 23:04:15.286 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415099
2015-12-07 23:04:15.286 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415102
2015-12-07 23:04:16.755 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415102
2015-12-07 23:04:16.756 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415096
2015-12-07 23:04:17.104 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415096
2015-12-07 23:04:17.110 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415101
2015-12-07 23:04:18.904 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415101
2015-12-07 23:04:18.904 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415104
2015-12-07 23:04:19.250 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415104
2015-12-07 23:04:19.250 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415100
2015-12-07 23:04:19.601 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415100
2015-12-07 23:04:19.601 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 415103
2015-12-07 23:04:20.033 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 415103
2015-12-07 23:04:20.034 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external race data for event: 46299
2015-12-07 23:04:20.035 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external race data for event: 46273
2015-12-07 23:04:20.380 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external race data for event: 46273
2015-12-07 23:04:20.380 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external race data for event: 46274
2015-12-07 23:04:20.721 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external race data for event: 46274
2015-12-07 23:04:20.721 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external race data for event: 46276
2015-12-07 23:04:21.072 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414883
2015-12-07 23:04:21.732 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414883
2015-12-07 23:04:21.732 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414889
2015-12-07 23:04:22.075 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414889
2015-12-07 23:04:22.075 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414887
2015-12-07 23:04:22.425 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414887
2015-12-07 23:04:22.426 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414884
2015-12-07 23:04:22.804 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414884
2015-12-07 23:04:22.805 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414888
2015-12-07 23:04:23.205 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Finish fetching external StartPosition data for Race: 414888
2015-12-07 23:04:23.205 [main] INFO  se.travappar.api.dal.ExternalSourceCaller - Start fetching external StartPosition data for Race: 414886
